id,year,month,day,wekkday,hour,minute,lat,lon
410385,2004,2,29,1,0,16,38.98048611,-89.80093889
410386,2004,2,29,1,3,20,42.09193889,-87.76133333
410387,2004,1,22,5,13,6,38.71885833,-87.68213333
410388,2004,2,2,2,7,15,41.74003611,-87.61460556
410389,2004,2,8,1,18,44,41.85602778,-87.79336944
410390,2004,2,11,4,15,56,38.43826944,-89.08194444
410391,2004,2,14,7,13,29,41.72146667,-87.94414167
410392,2004,2,28,7,12,36,41.82128889,-88.10939722
410393,2004,3,1,2,10,52,41.65616389,-89.31960278
410394,2004,3,1,2,0,39,41.50495556,-90.58835
410395,2004,3,1,2,18,6,42.26549167,-89.00991944
410396,2004,3,2,3,14,53,42.33335,-89.25268056
410397,2004,3,2,3,16,0,39.08625278,-89.12074167
410398,2004,3,3,4,6,0,40.69318889,-89.75709167
410399,2004,3,3,4,8,40,37.97616389,-88.92778333
410400,2004,3,4,5,3,52,38.51635278,-90.21116389
410401,2004,3,5,6,3,26,42.02693056,-88.09084722
410402,2004,3,5,6,10,24,39.60190278,-87.69365833
410403,2004,3,5,6,20,53,41.845525,-87.76120556
410404,2004,3,6,7,16,21,41.84637778,-90.15015
410405,2004,3,6,7,12,30,41.87088056,-87.86735833
410406,2004,3,8,2,10,39,42.13980833,-88.335675
410407,2004,3,8,2,12,0,38.547775,-87.85178056
410408,2004,3,9,3,18,18,41.811275,-88.01113611
410409,2004,3,10,4,18,47,38.73331389,-90.14337778
410410,2004,3,10,4,22,22,40.55006111,-89.84971111
410411,2004,3,11,5,20,32,41.74749722,-88.22466111
